"Gemeenten";"Gemeenteraad - Opkomst|1990";"Gemeenteraad - Opkomst|1994";"Gemeenteraad - Opkomst|1998"
"Oegstgeest";69,4;73,9;68,1
"Oirschot";75,5;79,9;68,3
"Oisterwijk";69,5;67,9;49,2
"Oldambt";69,8;68,9;65,1
"Oldebroek";70,4;73,5;69,7
"Oldenzaal";69,7;70,0;67,0
"Olst-Wijhe";77,3;74,1;68,0
"Ommen";79,5;77,5;74,8
"Oost Gelre";68,4;69,9;65,0
"Oosterhout";60,1;62,4;55,4
"Ooststellingwerf";69,7;67,0;63,2
"Oostzaan";73,9;72,1;69,8
"Opmeer";67,1;69,5;64,1
"Opsterland";74,6;72,1;66,7
"Oss";65,2;57,2;64,0
"Oude IJsselstreek";67,6;67,8;62,3
"Ouder-Amstel";66,5;65,7;59,9
"Oudewater";75,7;71,3;71,0
"Overbetuwe";63,5;66,0;54,7
"Papendrecht";62,6;66,0;60,3
"Peel en Maas";70,5;69,3;64,6
"Pekela";67,2;63,1;59,1
"Pijnacker-Nootdorp";69,7;72,5;69,7
"Purmerend";55,5;63,8;55,8
"Putten";72,9;78,0;74,4
"Raalte";72,4;74,4;69,8
"Reimerswaal";78,4;76,1;73,2
"Renkum";67,0;67,2;63,2
"Renswoude";74,6;73,4;71,1
"Reusel-De Mierden";71,9;69,1;56,7
"Rheden";66,9;65,8;61,3
"Rhenen";69,2;68,0;66,9
"Ridderkerk";62,7;66,5;59,5
"Rijssen-Holten";87,8;86,4;84,7
"Rijswijk";60,9;67,3;61,4
"Roerdalen";81,2;83,1;78,9
"Roermond";50,9;60,9;57,0
"Roosendaal";55,2;61,1;42,2
"Rotterdam";48,5;57,0;49,6
"Rozendaal";84,8;84,3;84,4
"Rucphen";65,3;61,2;59,1
"Schagen";54,5;62,1;61,4
"Scherpenzeel";78,2;78,5;77,0
"Schiedam";54,9;61,3;53,3
"Schiermonnikoog";92,4;91,3;90,2
"Schouwen-Duiveland";73,6;72,3;61,4
"'s-Hertogenbosch";52,8;60,8;55,2
"Simpelveld";85,0;83,7;76,0
"Sint-Michielsgestel";72,4;72,8;63,8
"Sittard-Geleen";71,7;72,2;65,7
"Sliedrecht";63,1;66,8;65,7
"Sluis";69,0;64,3;62,5
"Smallingerland";72,7;71,5;64,7
"Soest";63,9;65,7;59,5
"Someren";71,6;72,4;65,9
"Son en Breugel";67,1;68,6;67,1
"Stadskanaal";64,6;62,1;56,5
"Staphorst";85,5;83,5;83,2
"Stede Broec";60,0;62,3;59,1
"Steenbergen";69,8;67,5;50,1
"Steenwijkerland";75,0;72,0;69,1
"Stein";77,0;80,6;70,9
"Stichtse Vecht";68,8;65,4;62,1
"Súdwest-Fryslân";69,8;68,4;63,4
"Terneuzen";61,3;61,2;58,8
"Terschelling";80,1;77,3;76,2
"Texel";74,9;75,4;73,3
"Teylingen";67,1;70,1;64,2
"Tholen";73,1;"-";70,2
"Tiel";53,7;56,6;48,4
"Tilburg";50,7;58,3;35,1
"Tubbergen";79,6;77,9;76,6
"Twenterand";75,5;72,8;70,0
"Tynaarlo";74,5;75,4;58,0
"Tytsjerksteradiel";73,5;71,3;68,3
"Uitgeest";70,2;71,0;64,3
"Uithoorn";61,9;64,4;58,2
"Urk";88,4;86,2;88,0
"Utrecht";54,9;61,2;57,4
"Utrechtse Heuvelrug";63,1;72,0;68,4
"Vaals";75,6;69,9;57,9
"Valkenburg aan de Geul";84,1;80,7;74,7
"Valkenswaard";65,2;65,4;59,1
"Veendam";66,2;64,3;58,8
"Veenendaal";62,0;68,4;65,0
"Veere";79,0;77,2;70,0
"Veldhoven";58,1;65,2;56,3
"Velsen";56,8;61,6;58,1
"Venlo";57,4;60,7;56,4
"Venray";62,5;63,0;61,9
"Vijfheerenlanden";73,7;69,8;65,5
"Vlaardingen";57,7;59,4;55,4
"Vlieland";85,2;79,6;83,8
"Vlissingen";52,8;58,0;51,5
"Voerendaal";74,6;75,0;68,9
"Voorschoten";67,0;68,9;66,1
"Voorst";71,2;73,4;67,2
"Vught";64,9;66,3;59,6
"Waadhoeke";69,4;71,1;65,5
"Waalre";67,3;69,9;67,2
"Waalwijk";58,5;65,8;51,7
"Waddinxveen";66,0;66,7;62,1
"Wageningen";65,4;65,9;61,7
"Wassenaar";71,1;69,3;65,5
"Waterland";68,2;72,9;70,2
"Weert";60,4;70,0;50,1
"West Betuwe";69,0;69,7;64,7
"West Maas en Waal";74,9;74,2;73,8
"Westerkwartier";69,1;71,8;70,2
"Westerveld";76,0;74,8;65,3
"Westervoort";59,6;58,4;53,5
"Westerwolde";65,4;63,7;60,4
"Westland";64,1;68,3;65,4
"Weststellingwerf";69,2;67,2;60,5
"Westvoorne";69,6;69,1;63,6
"Wierden";79,5;76,9;75,4
"Wijchen";63,4;61,8;61,4
"Wijdemeren";62,9;68,1;64,5
"Wijk bij Duurstede";67,2;65,1;60,9
"Winterswijk";72,1;68,7;62,9
"Woensdrecht";69,4;68,1;51,6
"Woerden";67,2;68,7;63,1
"Wormerland";53,2;67,9;63,4
"Woudenberg";76,8;76,2;73,4
"Zaanstad";57,7;59,0;52,3
"Zaltbommel";70,9;72,7;"-"
"Zandvoort";57,8;60,1;56,7
"Zeewolde";72,7;72,3;72,6
"Zeist";62,3;64,5;59,8
"Zevenaar";64,5;63,9;60,0
"Zoetermeer";56,0;64,2;59,0
"Zoeterwoude";67,7;66,4;64,4
"Zuidplas";65,8;67,5;67,3
"Zundert";71,5;69,1;58,9
"Zutphen";63,8;66,1;59,6
"Zwartewaterland";80,3;81,1;77,6
"Zwijndrecht";59,3;65,6;59,2
"Zwolle";59,5;65,1;58,7
